1-1	I	O	
1-2	Holstebro	B-noun.location	
1-3	tør	B-verb.emotion	
1-4	de	O	
1-5	ikke	O	
1-6	lade	B-verb.act	
1-7	en	O	
1-8	skulptur	B-noun.artifact	
1-9	stå	B-verb.PARTICLE	
1-10	ude	O	
1-11	om	O	
1-12	natten	B-noun.time	
1-13	.	O	

2-1	Drengen	B-noun.person	
2-2	betragtes	B-verb.cognition	
2-3	af	O	
2-4	politiet	B-noun.person	
2-5	som	O	
2-6	farlig	B-adj.all	
2-7	,	O	
2-8	og	O	
2-9	derfor	O	
2-10	blev	O	
2-11	han	O	
2-12	efterlyst	B-verb.communication	
2-13	med	O	
2-14	navn	B-noun.attribute	
2-15	og	O	
2-16	billede	B-noun.attribute	
2-17	,	O	
2-18	selv	O	
2-19	om	O	
2-20	retten	B-noun.person	
2-21	har	O	
2-22	nedlagt	B-verb.social	
2-23	navneforbud	B-noun.communication	
2-24	.	O	

3-1	4	O	
3-2	.	O	

4-1	30	B-adj.time	
4-2	-	I-adj.time	
4-3	årige	I-adj.time	
4-4	Staal	B-noun.person	
4-5	har	O	
4-6	i	O	
4-7	denne	O	
4-8	sæson	B-noun.time	
4-9	været	B-verb.competition	
4-10	på	B-verb.COLL	
4-11	isen	B-verb.COLL	
4-12	for	O	
4-13	HV	B-noun.institution	
4-14	71	I-noun.institution	
4-15	,	O	
4-16	der	O	
4-17	netop	O	
4-18	har	O	
4-19	hentet	B-verb.competition	
4-20	sølv	B-noun.motive	
4-21	i	O	
4-22	den	O	
4-23	svenske	B-adj.social	
4-24	eliteserie	B-noun.group	
4-25	,	O	
4-26	men	O	
4-27	nu	O	
4-28	trækker	B-verb.cognition	
4-29	hans	O	
4-30	gamle	B-adj.time	
4-31	klub	B-noun.institution	
4-32	med	O	
4-33	et	O	
4-34	attraktivt	B-adj.all	
4-35	tilbud	B-noun.communication	
4-36	.	O	

5-1	Til	O	
5-2	den	O	
5-3	tid	B-noun.time	
5-4	forventer	B-verb.cognition	
5-5	regionen	B-noun.institution	
5-6	at	O	
5-7	have	O	
5-8	været	B-verb.social	
5-9	igennem	O	
5-10	en	O	
5-11	ny	B-adj.time	
5-12	udbudsrunde	B-noun.act	
5-13	,	O	
5-14	skriver	B-verb.communication	
5-15	Dagbladet	B-noun.communication	
5-16	Ringsted	I-noun.communication	
5-17	og	O	
5-18	Sjællandske	B-noun.communication	
5-19	.	O	

6-1	Ja	O	
6-2	,	O	
6-3	det	O	
6-4	var	B-verb.stative	
6-5	åbenlyst	B-adj.mental	
6-6	for	O	
6-7	alle	O	
6-8	i	O	
6-9	den	O	
6-10	tribunebuldrende	B-adj.social	
6-11	hal	B-noun.building	
6-12	i	O	
6-13	den	O	
6-14	kroatiske	B-adj.social	
6-15	havneby	B-noun.location	
6-16	Porec	B-noun.location	
6-17	:	O	

7-1	"	O	
7-2	Vi	O	
7-3	ved	B-verb.cognition	
7-4	godt	O	
7-5	,	O	
7-6	at	O	
7-7	vi	O	
7-8	er	B-verb.stative	
7-9	de	O	
7-10	bedste	B-adj.all	
7-11	.	O	

8-1	Det	O	
8-2	er	O	
8-3	blevet	B-verb.change	
8-4	til	O	
8-5	en	O	
8-6	serie	B-noun.group	
8-7	grafiske	B-adj.phys	
8-8	kunsttryk	B-noun.artifact	
8-9	,	O	
8-10	der	O	
8-11	hver	O	
8-12	især	O	
8-13	er	O	
8-14	produceret	B-verb.creation	
8-15	i	O	
8-16	et	O	
8-17	oplag	B-noun.group	
8-18	på	O	
8-19	2	O	
8-20	.	O	
8-21	000	O	
8-22	stk	B-noun.quantity	
8-23	.	O	
8-24	"	O	
8-25	Som	O	
8-26	fagnørder	B-noun.person	
8-27	i	O	
8-28	begge	O	
8-29	verdener	B-noun.domain	
8-30	har	O	
8-31	vi	O	
8-32	lagt	B-verb.cognition	
8-33	vægt	B-verb.PARTICLE	
8-34	på	O	
8-35	et	O	
8-36	grafisk	B-adj.phys	
8-37	kunsttryk	B-noun.artifact	
8-38	af	O	
8-39	høj	B-adj.all	
8-40	håndværksmæssig	B-adj.all	
8-41	kvalitet	B-noun.attribute	
8-42	"	O	
8-43	,	O	
8-44	fortæller	B-verb.communication	
8-45	Anders	B-noun.person	

9-1	Overfaldsmanden	B-noun.person	
9-2	bøjer	B-verb.motion	
9-3	sig	B-verb.REFLPRON	
9-4	over	O	
9-5	ham	O	
9-6	og	O	
9-7	siger	B-verb.communication	
9-8	:	O	

10-1	Det	O	
10-2	skulle	O	
10-3	have	O	
10-4	stået	B-verb.communication	
10-5	"	O	
10-6	lidt	O	
10-7	mere	O	
10-8	end	O	
10-9	halvdelen	B-noun.quantity	
10-10	"	O	
10-11	.	O	

11-1	Der	O	
11-2	er	B-verb.stative	
11-3	ingen	O	
11-4	tvivl	B-noun.cognition	
11-5	om	O	
11-6	,	O	
11-7	at	O	
11-8	samtidsforfattere	B-noun.person	
11-9	,	O	
11-10	som	O	
11-11	kan	O	
11-12	ramme	B-verb.cognition	
11-13	et	O	
11-14	stort	B-adj.all	
11-15	publikum	B-noun.group	
11-16	,	O	
11-17	også	O	
11-18	fremover	O	
11-19	vil	O	
11-20	få	O	
11-21	tilbudt	B-verb.communication	
11-22	store	B-adj.all	
11-23	forskud	B-noun.possession	
11-24	"	O	
11-25	,	O	
11-26	mener	B-verb.cognition	
11-27	Hans	B-noun.person	
11-28	Henrik	I-noun.person	
11-29	Schwab	I-noun.person	
11-30	.	O	

12-1	"	O	
12-2	Ja	O	
12-3	,	O	
12-4	det	O	
12-5	gør	O	
12-6	jeg	O	
12-7	.	O	

13-1	Det	O	
13-2	er	B-verb.stative	
13-3	noget	O	
13-4	,	O	
13-5	man	O	
13-6	ikke	O	
13-7	rigtigt	O	
13-8	kan	B-verb.stative	
13-9	forberede	B-verb.cognition	
13-10	sig	B-verb.REFLPRON	
13-11	på	O	
13-12	"	O	
13-13	,	O	
13-14	sagde	B-verb.communication	
13-15	tidligere	B-adj.time	
13-16	pilot	B-noun.person	
13-17	Denny	B-noun.person	
13-18	Walsh	I-noun.person	
13-19	til	O	
13-20	CNN	B-noun.communication	
13-21	.	O	

14-1	Findes	B-verb.stative	
14-2	der	O	
14-3	ikke	O	
14-4	et	O	
14-5	eneste	O	
14-6	stykke	B-noun.artifact	
14-7	papir	B-noun.communication	
14-8	i	O	
14-9	Vatikanets	B-noun.institution	
14-10	kældre	B-noun.building	
14-11	om	O	
14-12	alt	O	
14-13	det	O	
14-14	?	O	

